INFO buildroot.py:667:  Mock Version: 6.1
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/etc/pki/ca-trust/extracted/pem/directory-hash
DEBUG file_util.py:21:  created dir: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/etc/pki/ca-trust/extracted/pem/directory-hash
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/etc/pki/ca-trust/source/anchors
DEBUG file_util.py:21:  created dir: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/etc/pki/ca-trust/source/anchors
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/etc/pki/ca-trust/source/blocklist
DEBUG file_util.py:21:  created dir: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/etc/pki/ca-trust/source/blocklist
DEBUG file_util.py:158:  Updating files in /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/usr/share/pki/ca-trust-source with files from /usr/share/pki/ca-trust-source
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/usr/share/pki/ca-trust-source
DEBUG file_util.py:21:  created dir: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/usr/share/pki/ca-trust-source
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/usr/share/pki/ca-trust-source/./anchors
DEBUG file_util.py:21:  created dir: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/usr/share/pki/ca-trust-source/./anchors
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/usr/share/pki/ca-trust-source/./blocklist
DEBUG file_util.py:21:  created dir: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/usr/share/pki/ca-trust-source/./blocklist
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/usr/share
DEBUG package_manager.py:388:  Copying /usr/share/distribution-gpg-keys to the bootstrap chroot
DEBUG util.py:634:  child environment: None
DEBUG util.py:556:  Executing command: ['cp', '-a', '/usr/share/distribution-gpg-keys', '/var/lib/mock/f43-build-59088491-6571000-bootstrap/root/usr/share'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:608:  Child return code was: 0
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/etc/dnf
DEBUG package_manager.py:689:  configure DNF vars
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/etc
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/etc
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/proc
DEBUG util.py:634:  child environment: None
DEBUG util.py:556:  Executing command: ['/bin/mount', '-n', '-t', 'tmpfs', '-o', 'rprivate,mode=0755', 'tmpfs', '/var/lib/mock/f43-build-59088491-6571000-bootstrap/root/proc'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:608:  Child return code was: 0
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/proc
DEBUG util.py:634:  child environment: None
DEBUG util.py:556:  Executing command: ['/bin/mount', '-n', '-o', 'rbind', '/proc', '/var/lib/mock/f43-build-59088491-6571000-bootstrap/root/proc'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:608:  Child return code was: 0
DEBUG util.py:634:  child environment: None
DEBUG util.py:556:  Executing command: ['/bin/mount', '-n', '-o', 'remount,nodev,noexec,nosuid,readonly,rprivate,rbind', '--target', '/var/lib/mock/f43-build-59088491-6571000-bootstrap/root/proc'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:608:  Child return code was: 0
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/sys
DEBUG util.py:634:  child environment: None
DEBUG util.py:556:  Executing command: ['/bin/mount', '-n', '-t', 'tmpfs', '-o', 'rprivate,mode=0755', 'tmpfs', '/var/lib/mock/f43-build-59088491-6571000-bootstrap/root/sys'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:608:  Child return code was: 0
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/sys
DEBUG util.py:634:  child environment: None
DEBUG util.py:556:  Executing command: ['/bin/mount', '-n', '-o', 'rbind', '/sys', '/var/lib/mock/f43-build-59088491-6571000-bootstrap/root/sys'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:608:  Child return code was: 0
DEBUG util.py:634:  child environment: None
DEBUG util.py:556:  Executing command: ['/bin/mount', '-n', '-o', 'remount,nodev,noexec,nosuid,readonly,rprivate,rbind', '--target', '/var/lib/mock/f43-build-59088491-6571000-bootstrap/root/sys'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:608:  Child return code was: 0
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/dev/shm
DEBUG util.py:634:  child environment: None
DEBUG util.py:556:  Executing command: ['/bin/mount', '-n', '-t', 'tmpfs', 'tmpfs', '/var/lib/mock/f43-build-59088491-6571000-bootstrap/root/dev/shm'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:608:  Child return code was: 0
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/dev/pts
DEBUG util.py:634:  child environment: None
DEBUG util.py:556:  Executing command: ['/bin/mount', '-n', '-t', 'devpts', '-o', 'gid=5,mode=0620,ptmxmode=0666,newinstance', 'devpts', '/var/lib/mock/f43-build-59088491-6571000-bootstrap/root/dev/pts'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:608:  Child return code was: 0
DEBUG util.py:634:  child environment: None
