INFO buildroot.py:667:  Mock Version: 6.1
DEBUG util.py:461:   fedora-release-identity-basic noarch  41-32                       build      654.0   B
DEBUG util.py:461:   fedora-repos                  noarch  41-1                        build        4.9 KiB
DEBUG util.py:461:   file-libs                     aarch64 5.45-7.fc41                 build       10.0 MiB
DEBUG util.py:461:   filesystem                    aarch64 3.18-23.fc41                build      106.0   B
DEBUG util.py:461:   findutils                     aarch64 1:4.10.0-4.fc41             build        2.1 MiB
DEBUG util.py:461:   fmt                           aarch64 11.0.2-2.fc41               build      247.7 KiB
DEBUG util.py:461:   gawk                          aarch64 5.3.0-4.fc41                build        4.2 MiB
DEBUG util.py:461:   gdbm-libs                     aarch64 1:1.23-7.fc41               build      426.0 KiB
DEBUG util.py:461:   glib2                         aarch64 2.82.5-1.fc41               build       15.3 MiB
DEBUG util.py:461:   glibc                         aarch64 2.40-25.fc41                build        6.2 MiB
DEBUG util.py:461:   glibc-common                  aarch64 2.40-25.fc41                build        1.3 MiB
DEBUG util.py:461:   glibc-minimal-langpack        aarch64 2.40-25.fc41                build        0.0   B
DEBUG util.py:461:   gmp                           aarch64 1:6.3.0-2.fc41              build      722.0 KiB
DEBUG util.py:461:   gnutls                        aarch64 3.8.9-2.fc41                build        3.6 MiB
DEBUG util.py:461:   grep                          aarch64 3.11-9.fc41                 build        1.1 MiB
DEBUG util.py:461:   json-c                        aarch64 0.17-4.fc41                 build      202.4 KiB
DEBUG util.py:461:   keyutils-libs                 aarch64 1.6.3-4.fc41                build      226.4 KiB
DEBUG util.py:461:   krb5-libs                     aarch64 1.21.3-4.fc41               build        2.6 MiB
DEBUG util.py:461:   libacl                        aarch64 2.3.2-2.fc41                build      196.1 KiB
DEBUG util.py:461:   libarchive                    aarch64 3.7.4-4.fc41                build      910.7 KiB
DEBUG util.py:461:   libattr                       aarch64 2.5.2-4.fc41                build      196.6 KiB
DEBUG util.py:461:   libblkid                      aarch64 2.40.4-1.fc41               build      285.2 KiB
DEBUG util.py:461:   libbrotli                     aarch64 1.1.0-5.fc41                build        1.1 MiB
DEBUG util.py:461:   libcap                        aarch64 2.70-4.fc41                 build        1.4 MiB
DEBUG util.py:461:   libcap-ng                     aarch64 0.8.5-3.fc41                build      417.2 KiB
DEBUG util.py:461:   libcom_err                    aarch64 1.47.1-6.fc41               build      111.3 KiB
DEBUG util.py:461:   libcurl                       aarch64 8.9.1-3.fc41                build      781.1 KiB
DEBUG util.py:461:   libdnf5                       aarch64 5.2.12.0-2.fc41             build        3.3 MiB
DEBUG util.py:461:   libdnf5-cli                   aarch64 5.2.12.0-2.fc41             build      864.8 KiB
DEBUG util.py:461:   libeconf                      aarch64 0.6.2-3.fc41                build      206.1 KiB
